,product url,ranking,brand,product name,number of ratings,star rating,price(in dollar),color,compatible devices,connectivity technology,connector type,date first available
33,https://www.amazon.com/NSPENCM-Charger-Replacement-Connector-Compatible/dp/B09BVKYWJ5/ref=zg_bs_g_pc_d_sccl_34/147-5900862-7338908?psc=1,#34,NSPENCM,"NSPENCM 85W Mac Book Pro Charger, Replacement AC 2T-Tip Connector Power Adapter,Laptop Charger Compatible with Mac Book Air 13 inch-15 inch Retina After Mid 2012","3,365",4.6,Price data not available,white,,Powerline,t-type,"
                ‎August 4, 2021 "
34,https://www.amazon.com/Apple-Desktop-Computer-10%E2%80%91core-Ethernet/dp/B0BSHGHGXR/ref=zg_bs_g_pc_d_sccl_35/147-5900862-7338908?psc=1,#35,Apple,"Apple 2023 Mac Mini Desktop Computer M2 chip with 8‑core CPU and 10‑core GPU, 8GB Unified Memory, 256GB SSD Storage, Gigabit Ethernet. Works with iPhone/iPad",663,4.7,502.04,Silver,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Date first available data not available
35,https://www.amazon.com/Universal-Laptop-Charger-laptops-Chargeable/dp/B09688VRYZ/ref=zg_bs_g_pc_d_sccl_36/147-5900862-7338908?psc=1,#36,SLE-TECH,"Universal Chromebook Charger USB C for Hp 65W 45W USB-C Laptop Charger,Replacement for Lenovo Thinkpad/Yoga,Dell Chromebook 3100,Latitude 5420,Asus,Samsung,Acer,Google Series Type C Power Cord","1,958",4.4,Price data not available,Black,"PC, Laptops",USB,USB Type C,"
                ‎May 31, 2021 "
36,https://www.amazon.com/Amazon_Fire_HD_10_Kids_Pro/dp/B0BL6DCNGR/ref=zg_bs_g_pc_d_sccl_37/147-5900862-7338908?psc=1,#37,Amazon,"All-new Amazon Fire HD 10 Kids Pro tablet- 2023, ages 6-12 | Bright 10.1"" HD screen | Slim case for older kids, ad-free content, parental controls, 13-hr battery, 32 GB, Nebula",617,4.5,Price data not available,Color not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Date first available data not available
37,https://www.amazon.com/Mac-Book-Pro-Charger-MacBook/dp/B09GFR7NSK/ref=zg_bs_g_pc_d_sccl_38/147-5900862-7338908?psc=1,#38,Furgor,"Mac Book Pro Charger - 118W USB C Charger Fast Charger for MacBook Air, iPad Pro, Samsung Galaxy and All USB-C Devices, 7.2ft USB C to C Cable","3,602",4.6,Price data not available,MacBook Pro Charger-White,,USB,USB Type C," September 16, 2021 "
38,https://www.amazon.com/Amazon-Fire-Kids-tablet-Top-selling/dp/B0C8BZ7QG7/ref=zg_bs_g_pc_d_sccl_39/147-5900862-7338908?psc=1,#39,Amazon,"Amazon Fire 7 Kids tablet, ages 3-7. Top-selling 7"" kids tablet on Amazon - 2022 | 6-months ad-free content with parental controls included, 10-hr battery, 16 GB, Purple","14,431",4.5,Price data not available,Color not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Date first available data not available
39,https://www.amazon.com/Motivational-Waterproof-Hydroflasks-Computers-Employees/dp/B091PPTZB6/ref=zg_bs_g_pc_d_sccl_40/147-5900862-7338908?psc=1,#40,YOMELA,"Quote Stickers, Positive Stickers 200Pcs Motivational Waterproof Vinyl Stickers for Water Bottle Hydroflasks Laptops Computers Phone for Women Adults Students Teachers Employees","1,894",4.6,Price data not available,Quote Stickers,Compatible devices data not available,Connectivity technology data not available,Connector type data not available," April 5, 2021 "
40,https://www.amazon.com/Amazon_Fire_HD_10/dp/B0BL5XPDR6/ref=zg_bs_g_pc_d_sccl_41/147-5900862-7338908?psc=1,#41,Amazon,"All-new Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, latest model (2023 release), 32 GB, Ocean","2,059",4.5,Price data not available,Color not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Date first available data not available
41,https://www.amazon.com/Docking-Station-Monitor-1000Mbps-Multiport/dp/B0B1PT5FVM/ref=zg_bs_g_pc_d_sccl_42/147-5900862-7338908?psc=1,#42,Baseus,"Baseus Laptop Docking Station Dual Monitor 4K@120Hz, 9 in 1 USB C Hub with 2 HDMI, 1000Mbps LAN, 100W PD, 3 USB, SD Card Reader, USB C Dock Compatible with iPhone 15/Mac/Dell/HP/Surface/Steam Deck…","1,421",4.3,34.44,Grey,,Connectivity technology data not available,Connector type data not available," May 19, 2022 "
42,https://www.amazon.com/Replacement-ADLX65YDC2A-ADLX65YLC2D-ADLX65YDC3A-ADLX65YDC2D/dp/B08R67QLTM/ref=zg_bs_g_pc_d_sccl_43/147-5900862-7338908?psc=1,#43,Dzytnsy,USB-C 65W 45W AC Replacement Charger fit for Lenovo ThinkPad T480 T490 T580 ADLX65YDC2A ADLX65YLC2D ADLX65YDC3A ADLX65YDC2D chromebook 2nd Gen S330 65W Laptop Power Supply Adapter Cord,"1,146",4.4,20.59,Black,Laptops,USB,USB Type C,"
                ‎December 22, 2020 "
43,https://www.amazon.com/ARRIS-SURFboard-Approved-SB8200-Frustration/dp/B07DY16W2Z/ref=zg_bs_g_pc_d_sccl_44/147-5900862-7338908?psc=1,#44,ARRIS,"ARRIS SURFboard SB8200 DOCSIS 3.1 Cable Modem , Approved for Comcast Xfinity, Cox, Charter Spectrum, & more , Two 1 Gbps Ports , 1 Gbps Max Internet Speeds , 4 OFDM Channels","18,068",4.3,Price data not available,Color not available,Router,Ethernet,Connector type data not available,"
                ‎January 19, 2017 "
44,https://www.amazon.com/Amazon_Fire_HD_10_Kids/dp/B0BL5SZ3VV/ref=zg_bs_g_pc_d_sccl_45/147-5900862-7338908?psc=1,#45,Amazon,"All-new Amazon Fire 10 Kids tablet- 2023, ages 3-7 | Bright 10.1"" HD screen with ad-free content and parental controls included, 13-hr battery, 32 GB, Blue",602,4.5,Price data not available,Color not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Date first available data not available
45,https://www.amazon.com/HV-F2056-15-6-17-Laptop-Cooler-Cooling/dp/B00NNMB3KS/ref=zg_bs_g_pc_d_sccl_46/147-5900862-7338908?psc=1,#46,havit,"havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black/Blue","39,919",4.3,26.26,Black+Blue,Compatible devices data not available,Connectivity technology data not available,Connector type data not available," September 17, 2014 "
46,https://www.amazon.com/Amazon_Fire_HD_10/dp/B0BL5WZ6HF/ref=zg_bs_g_pc_d_sccl_47/147-5900862-7338908?psc=1,#47,Amazon,"All-new Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, latest model (2023 release), 32 GB, Lilac","2,059",4.5,Price data not available,Color not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Date first available data not available
